Store ID,Product ID,Category,Region,Inventory Level,Demand,Total_Forecast_Demand,Average_Daily_Demand,Maximum_Daily_Demand,Safety_Stock,Reorder_Level,Recommended_Inventory,Inventory_Difference,Inventory_Coverage_Days,Recommended_Order_Quantity,Stockout_Risk,Overstock_Risk,Recommended_Action
S003,P0019,Groceries,East,108,132,946.05,135.15,136.51,189.21,1135.26,1135.26,-1027.26,0.8,1027.26,High,Low,Order Immediately
S003,P0018,Furniture,East,652,90,567.15,81.02,84.19,113.43,680.58,680.58,-28.58,8.05,28.58,Low,Low,Inventory Healthy
S003,P0017,Furniture,East,239,118,583.29,83.33,96.94,116.66,699.95,699.95,-460.95,2.87,460.95,High,Low,Order Immediately
S003,P0016,Electronics,East,161,124,685.88,97.98,111.36,137.18,823.06,823.06,-662.06,1.64,662.06,High,Low,Order Immediately
S003,P0015,Groceries,East,413,134,891.68,127.38,134.63,178.34,1070.02,1070.02,-657.02,3.24,657.02,High,Low,Order Immediately
S003,P0014,Groceries,East,350,157,1023.36,146.19,150.12,204.67,1228.03,1228.03,-878.03,2.39,878.03,High,Low,Order Immediately
S003,P0013,Groceries,East,781,121,761.18,108.74,117.16,152.24,913.42,913.42,-132.42,7.18,132.42,Low,Low,Inventory Healthy
S004,P0003,Furniture,West,153,59,366.91,52.42,54.88,73.38,440.29,440.29,-287.29,2.92,287.29,High,Low,Order Immediately
S004,P0014,Furniture,West,379,39,411.74,58.82,61.17,82.35,494.09,494.09,-115.09,6.44,115.09,Medium,Low,Reorder
S005,P0018,Clothing,North,197,68,627.64,89.66,95.23,125.53,753.17,753.17,-556.17,2.2,556.17,High,Low,Order Immediately
S004,P0016,Furniture,West,153,43,323.55,46.22,48.49,64.71,388.26,388.26,-235.26,3.31,235.26,High,Low,Order Immediately
S003,P0011,Electronics,East,143,134,586.04,83.72,116.6,117.21,703.25,703.25,-560.25,1.71,560.25,High,Low,Order Immediately
S005,P0017,Toys,North,137,137,916.12,130.87,132.38,183.22,1099.34,1099.34,-962.34,1.05,962.34,High,Low,Order Immediately
S005,P0016,Toys,North,233,64,350.23,50.03,56.58,70.05,420.28,420.28,-187.28,4.66,187.28,Medium,Low,Reorder
S005,P0015,Groceries,North,520,122,723.67,103.38,112.64,144.73,868.4,868.4,-348.4,5.03,348.4,Medium,Low,Reorder
S005,P0014,Furniture,North,161,120,629.81,89.97,97.36,125.96,755.77,755.77,-594.77,1.79,594.77,High,Low,Order Immediately
S005,P0013,Groceries,North,792,97,506.56,72.37,84.87,101.31,607.87,607.87,184.13,10.94,0.0,Low,Medium,Monitor Overstock
S005,P0012,Furniture,North,375,54,434.82,62.12,67.05,86.96,521.78,521.78,-146.78,6.04,146.78,Medium,Low,Reorder
S005,P0011,Electronics,North,269,74,364.83,52.12,59.25,72.97,437.8,437.8,-168.8,5.16,168.8,Medium,Low,Reorder
S005,P0010,Groceries,North,115,78,413.35,59.05,72.66,82.67,496.02,496.02,-381.02,1.95,381.02,High,Low,Order Immediately
S005,P0009,Groceries,North,136,94,402.48,57.5,76.18,80.5,482.98,482.98,-346.98,2.37,346.98,High,Low,Order Immediately
S004,P0015,Furniture,West,292,40,381.86,54.55,57.95,76.37,458.23,458.23,-166.23,5.35,166.23,Medium,Low,Reorder
S005,P0008,Groceries,North,154,81,538.9,76.99,80.45,107.78,646.68,646.68,-492.68,2.0,492.68,High,Low,Order Immediately
S005,P0006,Groceries,North,266,163,557.47,79.64,120.98,111.49,668.96,668.96,-402.96,3.34,402.96,High,Low,Order Immediately
S005,P0005,Groceries,North,288,113,997.53,142.5,150.74,199.51,1197.04,1197.04,-909.04,2.02,909.04,High,Low,Order Immediately
S005,P0004,Groceries,North,141,115,870.11,124.3,126.93,174.02,1044.13,1044.13,-903.13,1.13,903.13,High,Low,Order Immediately
S005,P0003,Toys,North,212,121,439.44,62.78,94.67,87.89,527.33,527.33,-315.33,3.38,315.33,High,Low,Order Immediately
S005,P0002,Electronics,North,156,136,1079.21,154.17,165.25,215.84,1295.05,1295.05,-1139.05,1.01,1139.05,High,Low,Order Immediately
S005,P0001,Groceries,North,267,99,598.06,85.44,93.82,119.61,717.67,717.67,-450.67,3.13,450.67,High,Low,Order Immediately
S004,P0020,Furniture,West,79,93,612.19,87.46,89.67,122.44,734.63,734.63,-655.63,0.9,655.63,High,Low,Order Immediately
S004,P0019,Clothing,West,219,126,690.29,98.61,114.43,138.06,828.35,828.35,-609.35,2.22,609.35,High,Low,Order Immediately
S004,P0018,Furniture,West,97,66,505.16,72.17,73.34,101.03,606.19,606.19,-509.19,1.34,509.19,High,Low,Order Immediately
S004,P0017,Clothing,West,166,121,932.16,133.17,136.41,186.43,1118.59,1118.59,-952.59,1.25,952.59,High,Low,Order Immediately
S005,P0007,Groceries,North,261,56,370.16,52.88,57.49,74.03,444.19,444.19,-183.19,4.94,183.19,Medium,Low,Reorder
S003,P0010,Groceries,East,111,132,974.87,139.27,140.49,194.97,1169.84,1169.84,-1058.84,0.8,1058.84,High,Low,Order Immediately
S002,P0005,Electronics,South,552,138,1136.31,162.33,178.64,227.26,1363.57,1363.57,-811.57,3.4,811.57,High,Low,Order Immediately
S003,P0008,Clothing,East,170,114,754.64,107.81,110.14,150.93,905.57,905.57,-735.57,1.58,735.57,High,Low,Order Immediately
S001,P0020,Furniture,North,333,73,571.05,81.58,82.54,114.21,685.26,685.26,-352.26,4.08,352.26,Medium,Low,Reorder
S001,P0019,Furniture,North,110,61,515.65,73.66,79.6,103.13,618.78,618.78,-508.78,1.49,508.78,High,Low,Order Immediately
S001,P0018,Groceries,North,130,70,609.1,87.01,89.5,121.82,730.92,730.92,-600.92,1.49,600.92,High,Low,Order Immediately
S001,P0017,Toys,North,186,80,434.42,62.06,74.84,86.88,521.3,521.3,-335.3,3.0,335.3,High,Low,Order Immediately
S001,P0016,Groceries,North,225,90,596.79,85.26,87.59,119.36,716.15,716.15,-491.15,2.64,491.15,High,Low,Order Immediately
S001,P0015,Toys,North,80,83,664.68,94.95,100.47,132.94,797.62,797.62,-717.62,0.84,717.62,High,Low,Order Immediately
S001,P0014,Groceries,North,660,86,477.09,68.16,80.3,95.42,572.51,572.51,87.49,9.68,0.0,Low,Low,Inventory Healthy
S001,P0013,Toys,North,91,116,915.88,130.84,132.95,183.18,1099.06,1099.06,-1008.06,0.7,1008.06,High,Low,Order Immediately
S001,P0012,Groceries,North,396,86,443.27,63.32,75.85,88.65,531.92,531.92,-135.92,6.25,135.92,Medium,Low,Reorder
S001,P0011,Furniture,North,204,44,372.69,53.24,54.46,74.54,447.23,447.23,-243.23,3.83,243.23,Medium,Low,Reorder
S001,P0010,Furniture,North,518,69,483.1,69.01,70.22,96.62,579.72,579.72,-61.72,7.51,61.72,Low,Low,Inventory Healthy
S001,P0009,Clothing,North,128,84,502.75,71.82,77.99,100.55,603.3,603.3,-475.3,1.78,475.3,High,Low,Order Immediately
S001,P0008,Electronics,North,162,53,496.67,70.95,77.66,99.33,596.0,596.0,-434.0,2.28,434.0,High,Low,Order Immediately
S001,P0007,Groceries,North,476,80,377.22,53.89,65.47,75.44,452.66,452.66,23.34,8.83,0.0,Low,Low,Inventory Healthy
S001,P0006,Toys,North,436,96,618.62,88.37,90.34,123.72,742.34,742.34,-306.34,4.93,306.34,Medium,Low,Reorder
S001,P0005,Groceries,North,946,29,355.58,50.8,62.01,71.12,426.7,426.7,519.3,18.62,0.0,Low,High,Reduce Inventory
S001,P0004,Electronics,North,241,84,618.78,88.4,99.21,123.76,742.54,742.54,-501.54,2.73,501.54,High,Low,Order Immediately
S001,P0003,Clothing,North,434,137,808.6,115.51,122.33,161.72,970.32,970.32,-536.32,3.76,536.32,Medium,Low,Reorder
S001,P0002,Clothing,North,136,119,753.06,107.58,111.5,150.61,903.67,903.67,-767.67,1.26,767.67,High,Low,Order Immediately
S001,P0001,Electronics,North,383,111,729.36,104.19,109.45,145.87,875.23,875.23,-492.23,3.68,492.23,Medium,Low,Reorder
S005,P0019,Furniture,North,125,84,433.6,61.94,71.57,86.72,520.32,520.32,-395.32,2.02,395.32,High,Low,Order Immediately
S002,P0001,Groceries,South,569,87,596.46,85.21,89.19,119.29,715.75,715.75,-146.75,6.68,146.75,Medium,Low,Reorder
S002,P0002,Toys,South,515,78,602.58,86.08,92.88,120.52,723.1,723.1,-208.1,5.98,208.1,Medium,Low,Reorder
S002,P0003,Groceries,South,388,79,517.82,73.97,81.51,103.56,621.38,621.38,-233.38,5.25,233.38,Medium,Low,Reorder
S002,P0004,Groceries,South,129,73,665.99,95.14,102.31,133.2,799.19,799.19,-670.19,1.36,670.19,High,Low,Order Immediately
S003,P0007,Groceries,East,187,114,433.31,61.9,93.87,86.66,519.97,519.97,-332.97,3.02,332.97,High,Low,Order Immediately
S003,P0006,Toys,East,156,147,959.49,137.07,137.66,191.9,1151.39,1151.39,-995.39,1.14,995.39,High,Low,Order Immediately
S003,P0005,Toys,East,782,130,606.51,86.64,99.63,121.3,727.81,727.81,54.19,9.03,0.0,Low,Low,Inventory Healthy
S003,P0004,Groceries,East,552,84,547.66,78.24,84.42,109.53,657.19,657.19,-105.19,7.06,105.19,Low,Low,Inventory Healthy
S003,P0003,Electronics,East,95,103,776.41,110.92,114.37,155.28,931.69,931.69,-836.69,0.86,836.69,High,Low,Order Immediately
S003,P0002,Groceries,East,327,112,754.3,107.76,110.41,150.86,905.16,905.16,-578.16,3.03,578.16,High,Low,Order Immediately
S003,P0001,Toys,East,207,58,411.5,58.79,62.47,82.3,493.8,493.8,-286.8,3.52,286.8,Medium,Low,Reorder
S002,P0020,Furniture,South,332,82,400.18,57.17,62.69,80.04,480.22,480.22,-148.22,5.81,148.22,Medium,Low,Reorder
S002,P0019,Clothing,South,339,118,797.2,113.89,117.59,159.44,956.64,956.64,-617.64,2.98,617.64,High,Low,Order Immediately
S002,P0018,Clothing,South,61,149,1109.85,158.55,161.71,221.97,1331.82,1331.82,-1270.82,0.38,1270.82,High,Low,Order Immediately
S003,P0009,Groceries,East,123,151,1100.59,157.23,164.3,220.12,1320.71,1320.71,-1197.71,0.78,1197.71,High,Low,Order Immediately
S002,P0017,Toys,South,204,72,348.75,49.82,59.47,69.75,418.5,418.5,-214.5,4.09,214.5,Medium,Low,Reorder
S002,P0015,Clothing,South,1039,67,472.16,67.45,70.12,94.43,566.59,566.59,472.41,15.4,0.0,Low,High,Reduce Inventory
S002,P0014,Electronics,South,676,101,605.98,86.57,93.13,121.2,727.18,727.18,-51.18,7.81,51.18,Low,Low,Inventory Healthy
S002,P0013,Groceries,South,125,129,621.17,88.74,105.24,124.23,745.4,745.4,-620.4,1.41,620.4,High,Low,Order Immediately
S002,P0012,Electronics,South,423,96,703.63,100.52,102.79,140.73,844.36,844.36,-421.36,4.21,421.36,Medium,Low,Reorder
S002,P0011,Groceries,South,73,62,340.36,48.62,57.72,68.07,408.43,408.43,-335.43,1.5,335.43,High,Low,Order Immediately
S002,P0010,Groceries,South,143,107,742.28,106.04,107.92,148.46,890.74,890.74,-747.74,1.35,747.74,High,Low,Order Immediately
S002,P0009,Groceries,South,153,108,714.34,102.05,110.81,142.87,857.21,857.21,-704.21,1.5,704.21,High,Low,Order Immediately
S002,P0008,Groceries,South,85,96,653.32,93.33,94.79,130.66,783.98,783.98,-698.98,0.91,698.98,High,Low,Order Immediately
S002,P0007,Toys,South,414,109,714.08,102.01,110.83,142.82,856.9,856.9,-442.9,4.06,442.9,Medium,Low,Reorder
S002,P0006,Clothing,South,98,118,797.12,113.87,117.13,159.42,956.54,956.54,-858.54,0.86,858.54,High,Low,Order Immediately
S002,P0016,Clothing,South,88,105,586.61,83.8,95.9,117.32,703.93,703.93,-615.93,1.05,615.93,High,Low,Order Immediately
S005,P0020,Toys,North,126,73,485.28,69.33,76.48,97.06,582.34,582.34,-456.34,1.82,456.34,High,Low,Order Immediately
